Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
13,71,40,2,0,32.5,3,caught,4,,v India,Nottingham,18-Aug-18,Test # 2316
4,26,14,0,0,28.57,3,lbw,1,,v India,Southampton,30-Aug-18,Test # 2317
48,140,88,6,0,54.54,4,run out,3,,v India,Southampton,30-Aug-18,Test # 2317
0,4,3,0,0,0,4,lbw,1,,v India,The Oval,07-Sep-18,Test # 2318
125,264,190,12,1,65.78,4,caught,3,,v India,The Oval,07-Sep-18,Test # 2318
2,15,7,0,0,28.57,4,lbw,1,,v Ireland,Lord's,24-Jul-19,Test # 2352
31,93,64,3,0,48.43,5,caught,3,,v Ireland,Lord's,24-Jul-19,Test # 2352
57,192,119,6,0,47.89,3,caught,2,,v Australia,Birmingham,01-Aug-19,Test # 2353
28,97,57,3,0,49.12,3,caught,4,,v Australia,Birmingham,01-Aug-19,Test # 2353
14,37,20,3,0,70,3,lbw,1,,v Australia,Lord's,14-Aug-19,Test # 2355
0,2,1,0,0,0,3,caught,3,,v Australia,Lord's,14-Aug-19,Test # 2355
0,8,2,0,0,0,3,caught,2,,v Australia,Leeds,22-Aug-19,Test # 2357
77,322,205,7,0,37.56,3,caught,4,,v Australia,Leeds,22-Aug-19,Test # 2357
71,255,168,10,0,42.26,4,lbw,2,,v Australia,Manchester,04-Sep-19,Test # 2360
0,2,1,0,0,0,3,bowled,4,,v Australia,Manchester,04-Sep-19,Test # 2360
57,218,141,3,0,40.42,3,bowled,1,,v Australia,The Oval,12-Sep-19,Test # 2362
21,54,26,2,0,80.76,3,caught,3,,v Australia,The Oval,12-Sep-19,Test # 2362
23,80,49,2,0,46.93,4,caught,1,,v West Indies,Manchester,16-Jul-20,Test # 2389
22,58,33,0,0,66.66,4,run out,3,,v West Indies,Manchester,16-Jul-20,Test # 2389
17,92,59,0,0,28.81,3,run out,1,,v West Indies,Manchester,24-Jul-20,Test # 2390
68,77,56,8,1,121.42,3,not out,3,,v West Indies,Manchester,24-Jul-20,Test # 2390
14,93,58,2,0,24.13,3,caught,2,,v Pakistan,Manchester,05-Aug-20,Test # 2391
42,110,84,7,0,50,3,caught,4,,v Pakistan,Manchester,05-Aug-20,Test # 2391
9,49,35,0,0,25.71,4,not out,2,,v Pakistan,Southampton,13-Aug-20,Test # 2392
29,68,51,3,0,56.86,4,caught,1,,v Pakistan,Southampton,21-Aug-20,Test # 2393
42,169,113,5,0,37.16,4,caught,2,,v New Zealand,Lord's,02-Jun-21,Test # 2422
40,109,71,5,0,56.33,4,lbw,4,,v New Zealand,Lord's,02-Jun-21,Test # 2422
4,13,7,1,0,57.14,4,caught,1,,v New Zealand,Birmingham,10-Jun-21,Test # 2423
11,102,61,1,0,18.03,4,caught,3,,v New Zealand,Birmingham,10-Jun-21,Test # 2423
64,178,108,11,0,59.25,4,lbw,1,,v India,Nottingham,04-Aug-21,Test # 2428
109,284,172,14,0,63.37,4,caught,3,,v India,Nottingham,04-Aug-21,Test # 2428
180,533,321,18,0,56.07,4,not out,2,,v India,Lord's,12-Aug-21,Test # 2429
33,94,60,5,0,55,4,caught,4,,v India,Lord's,12-Aug-21,Test # 2429
121,242,165,14,0,73.33,4,bowled,2,,v India,Leeds,25-Aug-21,Test # 2432
21,52,25,4,0,84,4,bowled,2,,v India,The Oval,02-Sep-21,Test # 2433
36,123,78,3,0,46.15,4,bowled,4,,v India,The Oval,02-Sep-21,Test # 2433
11,21,15,2,0,73.33,4,caught,2,,v New Zealand,Lord's,02-Jun-22,Test # 2464
115,328,170,12,0,67.64,4,not out,4,,v New Zealand,Lord's,02-Jun-22,Test # 2464
176,353,211,26,1,83.41,4,caught,2,,v New Zealand,Nottingham,10-Jun-22,Test # 2465
3,5,4,0,0,75,4,caught,4,,v New Zealand,Nottingham,10-Jun-22,Test # 2465
5,16,9,1,0,55.55,4,caught,2,,v New Zealand,Leeds,23-Jun-22,Test # 2467
86,186,125,11,1,68.8,4,not out,4,,v New Zealand,Leeds,23-Jun-22,Test # 2467
31,92,67,4,0,46.26,4,caught,2,,v India,Birmingham,01-Jul-22,Test # 2470
142,240,173,19,1,82.08,4,not out,4,,v India,Birmingham,01-Jul-22,Test # 2470
8,26,17,1,0,47.05,4,lbw,1,,v South Africa,Lord's,17-Aug-22,Test # 2474
6,26,10,0,0,60,4,caught,3,,v South Africa,Lord's,17-Aug-22,Test # 2474
9,17,15,1,0,60,4,caught,2,,v South Africa,Manchester,25-Aug-22,Test # 2475
23,36,25,3,0,92,4,caught,2,,v South Africa,The Oval,08-Sep-22,Test # 2476
,-,-,-,-,-,-,DNB,4,,v South Africa,The Oval,08-Sep-22,Test # 2476
56,86,59,4,1,94.91,4,bowled,2,,v Ireland,Lord's,01-Jun-23,Test # 2504
,-,-,-,-,-,-,DNB,4,,v Ireland,Lord's,01-Jun-23,Test # 2504
118,269,152,7,4,77.63,4,not out,1,,v Australia,Birmingham,16-Jun-23,Test # 2507
46,79,55,5,1,83.63,4,stumped,3,,v Australia,Birmingham,16-Jun-23,Test # 2507
10,39,19,0,0,52.63,4,caught,2,,v Australia,Lord's,28-Jun-23,Test # 2508
18,40,35,2,0,51.42,4,caught,4,,v Australia,Lord's,28-Jun-23,Test # 2508
19,66,45,2,0,42.22,4,caught,2,,v Australia,Leeds,06-Jul-23,Test # 2509
21,72,33,3,0,63.63,4,caught,4,,v Australia,Leeds,06-Jul-23,Test # 2509
84,163,95,8,1,88.42,4,bowled,2,,v Australia,Manchester,19-Jul-23,Test # 2512
5,12,11,1,0,45.45,4,bowled,1,,v Australia,The Oval,27-Jul-23,Test # 2515
91,174,106,11,1,85.84,4,bowled,3,,v Australia,The Oval,27-Jul-23,Test # 2515
68,178,114,7,0,59.64,4,bowled,2,,v West Indies,Lord's,10-Jul-24,Test # 2538
14,46,29,2,0,48.27,4,caught,1,,v West Indies,Nottingham,18-Jul-24,Test # 2539
122,306,178,10,0,68.53,4,caught,3,,v West Indies,Nottingham,18-Jul-24,Test # 2539
87,194,124,7,0,70.16,5,lbw,2,,v West Indies,Birmingham,26-Jul-24,Test # 2541
,-,-,-,-,-,-,DNB,4,,v West Indies,Birmingham,26-Jul-24,Test # 2541
42,84,57,4,0,73.68,4,caught,2,,v Sri Lanka,Manchester,21-Aug-24,Test # 2545
62,183,128,2,0,48.43,4,not out,4,,v Sri Lanka,Manchester,21-Aug-24,Test # 2545
143,283,206,18,0,69.41,4,caught,1,,v Sri Lanka,Lord's,29-Aug-24,Test # 2546
103,192,121,10,0,85.12,4,caught,3,,v Sri Lanka,Lord's,29-Aug-24,Test # 2546
13,55,48,1,0,27.08,4,caught,1,,v Sri Lanka,The Oval,06-Sep-24,Test # 2548
12,34,18,2,0,66.66,4,lbw,3,,v Sri Lanka,The Oval,06-Sep-24,Test # 2548
34,69,44,3,0,77.27,4,caught,1,,v Zimbabwe,Nottingham,22-May-25,Test # 2584
28,86,58,2,0,48.27,4,caught,2,,v India,Leeds,20-Jun-25,Test # 2587
53,155,84,6,0,63.09,4,not out,4,,v India,Leeds,20-Jun-25,Test # 2587
22,92,46,2,0,47.82,4,caught,2,,v India,Birmingham,02-Jul-25,Test # 2591
6,29,16,1,0,37.5,4,bowled,4,,v India,Birmingham,02-Jul-25,Test # 2591
104,331,199,10,0,52.26,4,bowled,1,,v India,Lord's,10-Jul-25,Test # 2594
40,140,96,1,0,41.66,4,bowled,3,,v India,Lord's,10-Jul-25,Test # 2594
150,349,248,14,0,60.48,4,stumped,2,,v India,Manchester,23-Jul-25,Test # 2596
29,59,45,6,0,64.44,4,lbw,2,,v India,The Oval,31-Jul-25,Test # 2598
105,243,152,12,0,69.07,4,caught,4,,v India,The Oval,31-Jul-25,Test # 2598
