Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
24,55,37,2,1,64.86,4,lbw,1,,v South Africa,Durban,26-Dec-15,Test # 2196
73,192,128,5,1,57.03,4,caught,3,,v South Africa,Durban,26-Dec-15,Test # 2196
50,113,79,5,0,63.29,4,caught,1,,v South Africa,Cape Town,02-Jan-16,Test # 2197
29,50,29,5,0,100,4,bowled,3,,v South Africa,Cape Town,02-Jan-16,Test # 2197
110,214,139,17,0,79.13,4,caught,2,,v South Africa,Johannesburg,14-Jan-16,Test # 2199
4*,16,13,0,0,30.76,4,not out,4,,v South Africa,Johannesburg,14-Jan-16,Test # 2199
76,192,128,11,0,59.37,4,caught,2,,v South Africa,Centurion,22-Jan-16,Test # 2200
20,70,56,3,0,35.71,4,caught,4,,v South Africa,Centurion,22-Jan-16,Test # 2200
0,11,7,0,0,0,4,caught,1,,v Sri Lanka,Leeds,19-May-16,Test # 2203
80,153,119,5,0,67.22,4,caught,1,,v Sri Lanka,Chester-le-Street,27-May-16,Test # 2204
DNB,-,-,-,-,-,-,-,4,,v Sri Lanka,Chester-le-Street,27-May-16,Test # 2204
3,8,9,0,0,33.33,4,lbw,1,,v Sri Lanka,Lord's,09-Jun-16,Test # 2205
4,7,5,1,0,80,3,bowled,3,,v Sri Lanka,Lord's,09-Jun-16,Test # 2205
48,119,73,7,0,65.75,3,caught,2,,v Pakistan,Lord's,14-Jul-16,Test # 2206
9,50,30,2,0,30,3,caught,4,,v Pakistan,Lord's,14-Jul-16,Test # 2206
254,614,406,27,0,62.56,3,caught,1,,v Pakistan,Manchester,22-Jul-16,Test # 2208
71*,59,48,10,0,147.91,3,not out,3,,v Pakistan,Manchester,22-Jul-16,Test # 2208
3,11,6,0,0,50,3,caught,1,,v Pakistan,Birmingham,03-Aug-16,Test # 2212
62,165,123,8,0,50.4,3,caught,3,,v Pakistan,Birmingham,03-Aug-16,Test # 2212
26,57,39,5,0,66.66,3,caught,1,,v Pakistan,The Oval,11-Aug-16,Test # 2216
39,82,46,4,0,84.78,3,lbw,3,,v Pakistan,The Oval,11-Aug-16,Test # 2216
40,97,49,5,0,81.63,3,caught,1,,v Bangladesh,Chattogram,20-Oct-16,Test # 2225
1,6,4,0,0,25,3,lbw,3,,v Bangladesh,Chattogram,20-Oct-16,Test # 2225
56,155,122,4,0,45.9,3,lbw,2,,v Bangladesh,Mirpur,28-Oct-16,Test # 2227
1,4,2,0,0,50,3,lbw,4,,v Bangladesh,Mirpur,28-Oct-16,Test # 2227
124,239,180,11,1,68.88,3,caught,1,,v India,Rajkot,09-Nov-16,Test # 2232
4,10,5,0,0,80,3,caught,3,,v India,Rajkot,09-Nov-16,Test # 2232
53,105,98,6,0,54.08,3,caught,2,,v India,Visakhapatnam,17-Nov-16,Test # 2235
25,123,107,3,0,23.36,3,lbw,4,,v India,Visakhapatnam,17-Nov-16,Test # 2235
15,21,13,3,0,115.38,3,lbw,1,,v India,Mohali,26-Nov-16,Test # 2238
78,251,179,6,0,43.57,2,caught,3,,v India,Mohali,26-Nov-16,Test # 2238
21,39,41,1,0,51.21,3,caught,1,,v India,Wankhede,08-Dec-16,Test # 2239
77,127,112,11,0,68.75,3,lbw,3,,v India,Wankhede,08-Dec-16,Test # 2239
88,187,144,10,0,61.11,3,caught,1,,v India,Chennai,16-Dec-16,Test # 2241
6,47,22,0,0,27.27,3,lbw,3,,v India,Chennai,16-Dec-16,Test # 2241
190,375,234,27,1,81.19,4,caught,1,,v South Africa,Lord's,06-Jul-17,Test # 2262
5,20,13,1,0,38.46,4,bowled,3,,v South Africa,Lord's,06-Jul-17,Test # 2262
78,117,76,12,0,102.63,4,caught,2,,v South Africa,Nottingham,14-Jul-17,Test # 2264
8,34,20,0,0,40,4,bowled,4,,v South Africa,Nottingham,14-Jul-17,Test # 2264
29,71,56,4,0,51.78,4,caught,1,,v South Africa,The Oval,27-Jul-17,Test # 2266
50,131,94,6,0,53.19,4,caught,3,,v South Africa,The Oval,27-Jul-17,Test # 2266
52,135,101,6,0,51.48,4,lbw,1,,v South Africa,Manchester,04-Aug-17,Test # 2268
49,140,106,6,0,46.22,4,bowled,3,,v South Africa,Manchester,04-Aug-17,Test # 2268
136,287,189,22,0,71.95,4,bowled,1,,v West Indies,Birmingham,17-Aug-17,Test # 2270
59,156,98,9,0,60.2,4,caught,1,,v West Indies,Leeds,25-Aug-17,Test # 2271
72,187,111,15,0,64.86,4,caught,3,,v West Indies,Leeds,25-Aug-17,Test # 2271
1,13,2,0,0,50,4,caught,2,,v West Indies,Lord's,07-Sep-17,Test # 2274
DNB,-,-,-,-,-,-,-,4,,v West Indies,Lord's,07-Sep-17,Test # 2274
15,79,50,1,0,30,4,lbw,1,,v Australia,Brisbane,23-Nov-17,Test # 2282
51,159,104,5,0,49.03,4,lbw,3,,v Australia,Brisbane,23-Nov-17,Test # 2282
9,23,10,1,0,90,4,caught,2,,v Australia,Adelaide,02-Dec-17,Test # 2285
67,185,123,9,0,54.47,4,caught,4,,v Australia,Adelaide,02-Dec-17,Test # 2285
20,36,23,4,0,86.95,4,caught,1,,v Australia,W.A.C.A,14-Dec-17,Test # 2288
14,34,20,3,0,70,4,caught,3,,v Australia,W.A.C.A,14-Dec-17,Test # 2288
61,193,133,7,0,45.86,4,caught,2,,v Australia,Melbourne,26-Dec-17,Test # 2289
83,225,141,8,0,58.86,4,caught,1,,v Australia,Sydney,04-Jan-18,Test # 2291
58*,236,167,1,0,34.73,4,retired notout,3,,v Australia,Sydney,04-Jan-18,Test # 2291
0,9,6,0,0,0,3,bowled,1,,v New Zealand,Auckland,22-Mar-18,Test # 2299
51,191,131,5,0,38.93,3,caught,3,,v New Zealand,Auckland,22-Mar-18,Test # 2299
37,80,63,5,0,58.73,4,bowled,1,,v New Zealand,Christchurch,30-Mar-18,Test # 2301
54,182,128,4,0,42.18,4,caught,3,,v New Zealand,Christchurch,30-Mar-18,Test # 2301
4,46,24,0,0,16.66,3,caught,1,,v Pakistan,Lord's,24-May-18,Test # 2304
68,187,120,8,0,56.66,3,lbw,3,,v Pakistan,Lord's,24-May-18,Test # 2304
45,117,72,6,0,62.5,3,caught,2,,v Pakistan,Leeds,01-Jun-18,Test # 2305
80,243,156,9,0,51.28,3,run out,1,,v India,Birmingham,01-Aug-18,Test # 2314
